    #parametro     lambda_01     lambda_02     lambda_03
      3.088250      0.691033      0.000299    -10.779582
      3.088375      0.701720     -0.000543    -10.789552
      3.088500      0.670621      0.002422    -10.761543
      3.088625      0.682806      0.001849    -10.773280
      3.088750      0.685061      0.000368    -10.774179
      3.088875      0.682105     -0.000619    -10.770361
      3.089000      0.697589      0.000218    -10.786808
      3.089125      0.683419      0.001162    -10.773706
      3.089250      0.659133      0.000180    -10.748563
      3.089375      0.679912      0.000878    -10.770165
      3.089500      0.666279     -0.004012    -10.751767
      3.089625      0.678424     -0.000830    -10.767219
      3.089750      0.645237      0.000935    -10.735922
      3.089875      0.085523      0.004038    -10.179436
      3.090000      0.674792     -0.002948    -10.761844
      3.090125      0.682885     -0.000930    -10.772081
      3.090250      0.680705      0.000130    -10.771085
      3.090375      0.669897     -0.000023    -10.760249
      3.090500      0.648918     -0.000316    -10.739102
      3.090625      0.687410      0.000734    -10.778770
      3.090750      0.669307      0.000076    -10.760133
      3.090875      0.685274     -0.000396    -10.775753
      3.091000      0.671039     -0.001139    -10.760900
      3.091125      0.678446      0.000274    -10.769845
      3.091250      0.678861      0.000788    -10.770899
      3.091375      0.661793      0.000602    -10.753770
      3.091500      0.676762     -0.000747    -10.767515
      3.091625      0.671438     -0.002267    -10.760796
      3.091750      0.679066      0.000618    -10.771434
      3.091875      0.681415      0.000727    -10.774016
      3.092000      0.670817      0.000787    -10.763604
      3.092125      0.646465     -0.000986    -10.737604
      3.092250      0.656482      0.001309    -10.750041
      3.092375      0.677317      0.001246    -10.770938
      3.092500      0.678117     -0.004288    -10.766329
      3.092625      0.653089     -0.002811    -10.742903
      3.092750      0.666204      0.002486    -10.761440
      3.092875      0.668987      0.000514    -10.762376
      3.093000      0.676082      0.000400    -10.769482
      3.093125      0.673585     -0.000926    -10.765784
      3.093250      0.656702      0.000613    -10.750565
      3.093375      0.668086      0.000427    -10.761888
      3.093500      0.644806     -0.001061    -10.737245
      3.093625      0.653117      0.005043    -10.751785
      3.093750      0.652235      0.000587    -10.746572
      3.093875      0.654686      0.001405    -10.749966
      3.094000      0.644140      0.000698    -10.738838
      3.094125      0.635230     -0.004958    -10.724397
      3.094250      0.630523      0.000641    -10.725414
      3.094375      0.653554     -0.000279    -10.747650
      3.094500      0.637353     -0.000385    -10.731468
      3.094625      0.626295     -0.001026    -10.719894
      3.094750      0.628214      0.000005    -10.722970
      3.094875      0.608736     -0.000566    -10.703045
      3.095000      0.629126     -0.000648    -10.723478
      3.095125      0.631642      0.000773    -10.727540
      3.095250      0.624756     -0.001801    -10.718206
      3.095375      0.624550      0.000081    -10.720005
      3.095500      0.608020     -0.000128    -10.703392
      3.095625      0.584839      0.000268    -10.680732
      3.095750      0.608916     -0.000864    -10.703802
      3.095875      0.615630      0.000521    -10.712026
      3.096000      0.613458     -0.002216    -10.707242
      3.096125      0.612415     -0.001148    -10.707391
      3.096250      0.617978      0.001272    -10.715500
      3.096375      0.606101     -0.000429    -10.702047
      3.096500      0.606509     -0.000437    -10.702572
      3.096625      0.578835      0.001255    -10.676715
      3.096750      0.604615      0.000532    -10.701896
      3.096875      0.603685      0.000434    -10.700994
      3.097000      0.612650     -0.003063    -10.706586
      3.097125      0.575028     -0.002276    -10.669877
      3.097250      0.579499      0.001559    -10.678308
      3.097375      0.580436     -0.000186    -10.677625
      3.097500      0.564221     -0.000425    -10.661296
      3.097625      0.577597      0.002134    -10.677356
      3.097750      0.580673     -0.000908    -10.677514
      3.097875      0.568469     -0.000765    -10.665579
      3.098000      0.590867      0.001325    -10.690192
      3.098125      0.562323     -0.001017    -10.659431
      3.098250      0.573814      0.001482    -10.673546
      3.098375      0.571735     -0.001846    -10.668264
      3.098500      0.562184     -0.002690    -10.657994
      3.098625      0.583546      0.000128    -10.682298
      3.098750      0.523318      0.002316    -10.624384
      3.098875      0.550450      0.000458    -10.649783
      3.099000      0.551116     -0.001730    -10.648386
      3.099125      0.549690     -0.002259    -10.646556
      3.099250      0.558492      0.000775    -10.658517
      3.099375      0.524131      0.001110    -10.624616
      3.099500      0.525428      0.000553    -10.625481
      3.099625      0.502273      0.001470    -10.603368
      3.099750      0.475216     -0.001311    -10.573656
      3.099875      0.042557     -0.001968    -10.140464
      3.100000      0.000967     -0.056557    -10.044410
      3.100125      0.502449     -0.001838    -10.600736
      3.100250      0.527064     -0.000361    -10.626953
      3.100375      0.556753     -0.003067    -10.654061
      3.100500      0.556216      0.001517    -10.658233
      3.100625      0.556823      0.000941    -10.658389
      3.100750      0.553675      0.001351    -10.655776
      3.100875      0.567402     -0.001803    -10.666474
      3.101000      0.554333      0.000399    -10.655732
      3.101125      0.545985     -0.000629    -10.646481
      3.101250      0.543595     -0.000005    -10.644840
      3.101375      0.484990      0.002079    -10.588444
      3.101500      0.544977      0.000067    -10.646545
      3.101625      0.562024     -0.000887    -10.662763
      3.101750      0.553758     -0.000038    -10.655471
      3.101875      0.570242      0.002044    -10.674160
      3.102000      0.538695      0.001430    -10.642125
      3.102125      0.532429     -0.001540    -10.633014
      3.102250      0.537878      0.000787    -10.640915
      3.102375      0.552287     -0.000622    -10.654040
      3.102500      0.527627     -0.001847    -10.628279
      3.102625      0.549034     -0.000654    -10.651005
      3.102750      0.517656     -0.000263    -10.620143
      3.102875      0.311766      0.000138    -10.414780
      3.103000      0.514560     -0.000524    -10.617037
      3.103125      0.505380      0.000764    -10.609269
      3.103250      0.547555     -0.000779    -10.650026
      3.103375      0.532927     -0.001269    -10.635033
      3.103500      0.536774      0.000311    -10.640585
      3.103625      0.517082      0.000259    -10.620966
      3.103750      0.527642     -0.002807    -10.628585
      3.103875      0.517863      0.000299    -10.622038
      3.104000      0.514234     -0.000358    -10.617876
      3.104125      0.499116      0.000654    -10.603895
      3.104250      0.512525     -0.001823    -10.614952
      3.104375      0.474509     -0.002466    -10.576417
      3.104500      0.521735     -0.001235    -10.625000
      3.104625      0.518689      0.000968    -10.624282
      3.104750      0.509128      0.001358    -10.615237
      3.104875      0.502213     -0.000246    -10.606842
      3.105000      0.514612     -0.000691    -10.618922
      3.105125      0.479052     -0.001940    -10.582237
      3.105250      0.453357      0.001180    -10.559787
      3.105375      0.406336     -0.001780    -10.509931
      3.105500      0.487684      0.000333    -10.593516
      3.105625      0.482355      0.000096    -10.588076
      3.105750      0.458796      0.001928    -10.566474
      3.105875      0.435800     -0.000578    -10.541097
      3.106000      0.098984     -0.002125    -10.202859
      3.106125      0.000115     -0.756143     -9.350098
      3.106250      0.481481     -0.000399    -10.587332
      3.106375      0.485116      0.000027    -10.591518
      3.106500      0.469820      0.002623    -10.578943
      3.106625      0.488905     -0.001049    -10.594481
      3.106750      0.487284     -0.003740    -10.590294
      3.106875      0.489229     -0.000576    -10.595528
      3.107000      0.482511     -0.001556    -10.587954
      3.107125      0.473883     -0.001076    -10.579932
      3.107250      0.483137      0.000218    -10.590605
      3.107375      0.480727     -0.001692    -10.586411
      3.107500      0.488206      0.000665    -10.596371
      3.107625      0.467727      0.001231    -10.576582
      3.107750      0.492107     -0.000216    -10.599641
      3.107875      0.471980      0.000518    -10.580373
      3.108000      0.437394     -0.000116    -10.545278
      3.108125      0.444435     -0.000006    -10.552554
      3.108250      0.442988     -0.002093    -10.549145
      3.108375      0.442592     -0.000828    -10.550140
      3.108500      0.464332      0.001771    -10.574603
      3.108625      0.468013      0.001524    -10.578162
      3.108750      0.452197      0.000829    -10.561776
      3.108875      0.431370      0.000032    -10.540276
      3.109000      0.458970     -0.001579    -10.566391
      3.109125      0.452962      0.001409    -10.563497
      3.109250      0.425612      0.000061    -10.534923
      3.109375      0.424615     -0.000752    -10.533238
      3.109500      0.399662      0.001842    -10.511004
      3.109625      0.365856     -0.001745    -10.473736
      3.109750      0.413910     -0.001245    -10.522415
      3.109875      0.413941      0.001437    -10.525253
      3.110000      0.419328      0.000577    -10.529904
      3.110125      0.392737     -0.001551    -10.501311
      3.110250      0.364305     -0.001664    -10.472891
      3.110375      0.403296     -0.002249    -10.511422
      3.110500      0.374724     -0.000975    -10.484250
      3.110625      0.339827      0.004291    -10.454743
      3.110750      0.346404     -0.000638    -10.456515
      3.110875      0.308401      0.000327    -10.419603
      3.111000      0.250348      0.000786    -10.362134
      3.111125      0.190215     -0.001059    -10.300281
      3.111250      0.158056      0.002048    -10.271355
      3.111375      0.116202     -0.001103    -10.226474
      3.111500      0.130834      0.002376    -10.244710
      3.111625      0.114839     -0.000889    -10.225575
      3.111750     -0.000348     -0.013683    -10.097720
      3.111875      0.000074     -0.001306    -10.110643
      3.112000     -0.000467     -0.194886     -9.916647
      3.112125      0.000160     -0.022851    -10.089434
      3.112250     -0.000936     -0.106812    -10.004502
      3.112375      0.000003     -0.283768     -9.828610
      3.112500      0.000194     -0.291009     -9.821685
      3.112625     -0.000087     -0.107722    -10.004816
      3.112750      0.001018     -0.024709    -10.089059
      3.112875      0.000122     -0.016417    -10.096580
      3.113000      0.000179     -0.049081    -10.064097
      3.113125      0.000941     -0.085278    -10.028788
      3.113250     -0.000789     -0.129867     -9.982594
      3.113375     -0.000885     -0.183465     -9.929025
      3.113500      0.000421     -0.251448     -9.862473
      3.113625     -0.000164     -0.345070     -9.768391
      3.113750      0.000748     -0.492031     -9.622467
      3.113875      0.000594     -0.813777     -9.300692
      3.114000      0.000356     -0.843993     -9.270363
      3.114125      0.000395     -0.434865     -9.679656
      3.114250      0.000189     -0.216113     -9.898326
      3.114375      0.241807     -0.001464    -10.354718
      3.114500      0.303782      0.001212    -10.419494
      3.114625      0.336119     -0.000678    -10.450066
      3.114750      0.392064     -0.002291    -10.504523
      3.114875      0.377658      0.000949    -10.493482
      3.115000      0.425393      0.000407    -10.540800
      3.115125      0.414827      0.001279    -10.531231
      3.115250      0.403091      0.001490    -10.519832
      3.115375      0.421391     -0.000226    -10.536540
      3.115500      0.431059     -0.001082    -10.545477
      3.115625      0.372912     -0.000250    -10.488287
      3.115750      0.434939     -0.000550    -10.550139
      3.115875      0.423519     -0.000581    -10.538813
      3.116000      0.441185     -0.000327    -10.556858
      3.116125      0.405291     -0.002464    -10.518952
      3.116250      0.431426     -0.000823    -10.546853
      3.116375      0.428847     -0.001496    -10.543726
      3.116500      0.434629     -0.002288    -10.548841
      3.116625      0.417787      0.000452    -10.534865
      3.116750      0.430815      0.000681    -10.548246
      3.116875      0.436256     -0.001121    -10.552010
      3.117000      0.381348      0.000439    -10.498787
      3.117125      0.431814     -0.002233    -10.546706
      3.117250      0.432822     -0.000449    -10.549623
      3.117375      0.435290     -0.000349    -10.552315
      3.117500      0.426881      0.000046    -10.544427
      3.117625      0.422898     -0.000336    -10.540187
      3.117750      0.390647     -0.000493    -10.507904
      3.117875      0.414735     -0.000922    -10.531689
      3.118000      0.416234     -0.001175    -10.533059
      3.118125      0.376070      0.000384    -10.494580
      3.118250      0.405185      0.000680    -10.524115
      3.118375      0.394481     -0.001540    -10.511316
      3.118500      0.404897     -0.000520    -10.522877
      3.118625      0.403161      0.000177    -10.521963
      3.118750      0.396231      0.000730    -10.515711
      3.118875      0.392248      0.000730    -10.511853
      3.119000      0.371094      0.000044    -10.490138
      3.119125      0.400737     -0.001292    -10.518570
      3.119250      0.372965      0.000485    -10.492699
      3.119375      0.352108      0.003290    -10.474773
      3.119500      0.000093     -0.022145    -10.097449
      3.119625      0.364751     -0.003213    -10.481163
      3.119750      0.382901      0.000637    -10.503289
      3.119875      0.405251     -0.000486    -10.524640
      3.120000      0.401116      0.000797    -10.521913
      3.120125      0.385965     -0.000573    -10.505516
      3.120250      0.349139      0.000792    -10.470182
      3.120375      0.388195     -0.000580    -10.507990
      3.120500      0.371896      0.001607    -10.494003
      3.120625      0.364548      0.000137    -10.485309
      3.120750     -0.000329     -0.160642     -9.959779
      3.120875      0.371319     -0.001494    -10.490701
      3.121000      0.383069      0.000608    -10.504676
      3.121125      0.374589      0.001336    -10.497050
      3.121250      0.335578     -0.001668    -10.455160
      3.121375      0.391369      0.001375    -10.514119
      3.121500      0.364359      0.001157    -10.487016
      3.121625      0.357817      0.001918    -10.481360
      3.121750      0.346946      0.000692    -10.469387
      3.121875      0.330804      0.000360    -10.453039
      3.122000      0.311390      0.001326    -10.434716
      3.122125      0.331429      0.000504    -10.454058
      3.122250      0.110027      0.001918    -10.234195
      3.122375      0.040936     -0.002094    -10.161217
      3.122500      0.000314     -0.168575     -9.954240
      3.122625     -0.000513     -0.034280    -10.087832
      3.122750     -0.000723     -0.251545     -9.870482
      3.122875      0.252989      0.000500    -10.376364
      3.123000      0.353492     -0.000487    -10.476005
      3.123125      0.357202     -0.000836    -10.479491
      3.123250      0.353759      0.001329    -10.478338
      3.123375      0.369651      0.000187    -10.493213
      3.123500      0.357525      0.001010    -10.482035
      3.123625      0.349226      0.001081    -10.473932
      3.123750      0.362073      0.000962    -10.486786
      3.123875      0.361061     -0.000408    -10.484528
      3.124000      0.368581      0.000884    -10.493465
      3.124125      0.341926     -0.000632    -10.465420
      3.124250      0.361022     -0.000194    -10.485077
      3.124375      0.346354      0.000316    -10.471045
      3.124500      0.371849     -0.002243    -10.494106
      3.124625      0.341443     -0.001567    -10.464501
      3.124750      0.348254     -0.000764    -10.472240
      3.124875      0.356986      0.002564    -10.484425
      3.125000      0.338493     -0.000508    -10.462985
      3.125125      0.354060      0.000745    -10.479930
      3.125250      0.309796     -0.002773    -10.432272
      3.125375      0.343416     -0.000300    -10.468491
      3.125500      0.336353      0.001194    -10.463047
      3.125625      0.329650      0.001298    -10.456573
      3.125750      0.335267     -0.000546    -10.460471
      3.125875      0.310065     -0.001061    -10.434879
      3.126000     -0.000657     -0.210992     -9.914351
      3.126125      0.345987     -0.000444    -10.471669
      3.126250      0.340121     -0.001311    -10.465060
      3.126375      0.340138     -0.000505    -10.466007
      3.126500      0.362553     -0.000744    -10.488309
      3.126625      0.352318     -0.000077    -10.478866
      3.126750      0.333896     -0.001414    -10.459232
      3.126875      0.329279     -0.000703    -10.455451
      3.127000      0.342048     -0.001819    -10.467228
      3.127125      0.336164     -0.000695    -10.462594
      3.127250      0.331554      0.000344    -10.459147
      3.127375      0.342316     -0.000234    -10.469457
      3.127500      0.324046     -0.002824    -10.448722
      3.127625      0.338289      0.002097    -10.468012
      3.127750      0.323167     -0.000165    -10.450753
      3.127875      0.332449     -0.000328    -10.459996
      3.128000      0.328087      0.001045    -10.457132
      3.128125      0.310116     -0.000662    -10.437580
      3.128250      0.309552     -0.000120    -10.437682
      3.128375      0.303114     -0.001094    -10.430395
      3.128500      0.301741     -0.002667    -10.427573
      3.128625      0.292256      0.001138    -10.422019
      3.128750      0.285078      0.000675    -10.414503
      3.128875      0.282751      0.000361    -10.411987
      3.129000      0.263609      0.000883    -10.393492
      3.129125      0.000784     -0.048039    -10.081870
      3.129250      0.286018      0.001206    -10.416474
      3.129375      0.265654      0.001002    -10.396031
      3.129500      0.258906      0.000990    -10.389397
      3.129625      0.264443     -0.000268    -10.393800
      3.129750      0.264546     -0.000888    -10.393408
      3.129875      0.236645      0.002677    -10.369196
      3.130000      0.235130     -0.000116    -10.365014
      3.130125      0.254214     -0.000353    -10.383987
      3.130250      0.227244     -0.000961    -10.356533
      3.130375      0.029700     -0.005586    -10.154489
      3.130500      0.248238     -0.000239    -10.378499
      3.130625      0.235521     -0.000402    -10.365744
      3.130750      0.238550     -0.000040    -10.369260
      3.130875      0.226216      0.000294    -10.357385
      3.131000      0.235275      0.001833    -10.368108
      3.131125      0.221561     -0.000639    -10.352046
      3.131250      0.218268     -0.000900    -10.348618
      3.131375      0.172793      0.001845    -10.306014
      3.131500      0.068469      0.001166    -10.201135
      3.131625      0.000883     -0.010541    -10.121967
      3.131750      0.001787     -0.031943    -10.101595
      3.131875      0.000569     -0.072517    -10.059928
      3.132000      0.000092     -0.498908     -9.633185
      3.132125      0.163730     -0.000255    -10.295600
      3.132250      0.216035     -0.000040    -10.348244
      3.132375      0.222802     -0.000213    -10.354965
      3.132500      0.213432     -0.000917    -10.345015
      3.132625      0.217374      0.001336    -10.351336
      3.132750      0.204409     -0.000048    -10.337111
      3.132875      0.205969      0.000581    -10.339425
      3.133000      0.196623     -0.000309    -10.329315
      3.133125      0.177093      0.001937    -10.312155
      3.133250      0.193103      0.000992    -10.327344
      3.133375      0.201102     -0.000266    -10.334211
      3.133500      0.191479      0.000232    -10.325211
      3.133625      0.175577     -0.001025    -10.308177
      3.133750      0.115949      0.000721    -10.250419
      3.133875      0.035369     -0.313795     -9.855450
      3.134000      0.180017      0.000646    -10.314663
      3.134125      0.180295     -0.000422    -10.313998
      3.134250      0.180428      0.000708    -10.315386
      3.134375      0.173492     -0.001155    -10.306712
      3.134500      0.172504     -0.000294    -10.306710
      3.134625      0.185144      0.000850    -10.320619
      3.134750      0.172965      0.000018    -10.307733
      3.134875      0.174287      0.000080    -10.309241
      3.135000      0.157474     -0.000678    -10.291796
      3.135125      0.143403      0.000948    -10.279476
      3.135250      0.147346      0.000813    -10.283410
      3.135375      0.136404      0.000438    -10.272218
      3.135500      0.127396      0.000920    -10.263816
      3.135625      0.119389      0.000146    -10.255159
      3.135750      0.027724     -0.000977    -10.162497
      3.135875      0.000889     -0.056061    -10.080703
      3.136000      0.095559      0.000330    -10.231889
      3.136125      0.104047      0.000076    -10.240248
      3.136250      0.000203     -0.061673    -10.074779
      3.136375      0.082546      0.000336    -10.219257
      3.136500      0.080410      0.000164    -10.217075
      3.136625      0.060526      0.000347    -10.197498
      3.136750      0.047483      0.000349    -10.184582
      3.136875      0.019812      0.000988    -10.157675
      3.137000      0.002702     -0.005687    -10.134015
      3.137125      0.000999     -0.059168    -10.078957
      3.137250      0.000950     -0.072755    -10.065445
      3.137375      0.000831     -0.003572    -10.134634
      3.137500      0.000611     -0.018720    -10.119391
      3.137625      0.000451     -0.040700    -10.097376
      3.137750      0.000316     -0.071836    -10.066231
      3.137875      0.000287     -0.107912    -10.030250
      3.138000      0.000311     -0.162831     -9.975480
      3.138125      0.000358     -0.263406     -9.875077
      3.138250      0.000358     -0.425330     -9.713278
      3.138375      0.000339     -0.212068     -9.926647
      3.138500      0.000245     -0.141326     -9.997419
      3.138625      0.000317     -0.094032    -10.044910
      3.138750      0.000506     -0.062180    -10.077076
      3.138875      0.000772     -0.036527    -10.103120
      3.139000      0.000792     -0.016579    -10.123212
      3.139125      0.000646     -0.001622    -10.138150
      3.139250      0.000700     -0.007036    -10.132914
      3.139375      0.000094     -0.015110    -10.124359
      3.139500     -0.000158     -0.023902    -10.115439
      3.139625     -0.000355     -0.033355    -10.105915
      3.139750     -0.000601     -0.041869    -10.097280
      3.139875     -0.000901     -0.052104    -10.086870
      3.140000     -0.000672     -0.063764    -10.075564
      3.140125     -0.000236     -0.074686    -10.065203
      3.140250      0.000138     -0.085788    -10.054599
      3.140375      0.000012     -0.097233    -10.043154
      3.140500     -0.000055     -0.109240    -10.031204
      3.140625     -0.000171     -0.121827    -10.018627
      3.140750     -0.000266     -0.135084    -10.005400
      3.140875     -0.000353     -0.150060     -9.990463
      3.141000     -0.000194     -0.165602     -9.975203
      3.141125      0.000868     -0.180644     -9.961350
      3.141250     -0.000473     -0.196628     -9.944149
      3.141375     -0.000982     -0.215084     -9.925309
      3.141500     -0.001211     -0.234922     -9.905367
      3.141625     -0.000145     -0.256650     -9.884830
      3.141750     -0.000482     -0.278722     -9.862546
      3.141875     -0.000014     -0.303328     -9.838533
      3.142000     -0.000590     -0.332205     -9.809205
      3.142125     -0.000768     -0.364504     -9.776853
      3.142250     -0.000758     -0.401084     -9.740408
      3.142375     -0.000320     -0.443873     -9.698181
      3.142500      0.000190     -0.496143     -9.646547
      3.142625      0.000082     -0.562177     -9.580531
      3.142750     -0.000193     -0.649315     -9.493242
      3.142875      0.000090     -0.794268     -9.348697
      3.143000     -0.000198     -1.160505     -8.982297
      3.143125     -0.000822     -0.934199     -9.208104
      3.143250      0.000333     -0.721146     -9.422437
      3.143375      0.000357     -0.608415     -9.535318
      3.143500      0.001278     -0.536513     -9.608266
      3.143625      0.000856     -0.472771     -9.671710
      3.143750      0.000566     -0.426512     -9.717804
      3.143875      0.000327     -0.387097     -9.757105
      3.144000      0.000164     -0.353620     -9.790544
      3.144125     -0.000025     -0.324086     -9.820014
      3.144250     -0.000248     -0.297909     -9.846094
      3.144375     -0.000309     -0.274236     -9.869830
      3.144500     -0.000405     -0.253674     -9.890421
      3.144625      0.000845     -0.234365     -9.911106
      3.144750      0.000646     -0.216435     -9.928961
      3.144875      0.000295     -0.200718     -9.944452
      3.145000     -0.001186     -0.183685     -9.960130
      3.145125      0.000329     -0.167481     -9.977973
      3.145250     -0.001321     -0.156602     -9.987327
      3.145375      0.000312     -0.140203    -10.005484
      3.145500      0.000183     -0.128660    -10.017023
      3.145625     -0.000680     -0.116661    -10.028284
      3.145750     -0.000760     -0.104125    -10.040866
      3.145875     -0.000275     -0.094318    -10.051283
      3.146000     -0.000229     -0.083986    -10.061785
      3.146125      0.000427     -0.073300    -10.073252
      3.146250      0.000778     -0.063873    -10.083156
      3.146375      0.000192     -0.053863    -10.092704
      3.146500      0.000105     -0.044985    -10.101620
      3.146625     -0.000008     -0.036510    -10.110107
      3.146750     -0.000302     -0.028908    -10.117540
      3.146875      0.000369     -0.021826    -10.125419
      3.147000      0.000181     -0.014225    -10.132956
      3.147125     -0.000482     -0.007679    -10.138965
      3.147250     -0.001730      0.000015    -10.145535
      3.147375     -0.000604     -0.003030    -10.143741
      3.147500     -0.000654     -0.007555    -10.139291
      3.147625      0.000281     -0.009639    -10.138267
      3.147750     -0.000286     -0.014651    -10.132813
      3.147875     -0.000081     -0.016475    -10.131319
      3.148000      0.000043     -0.021924    -10.126119
      3.148125     -0.000039     -0.025480    -10.122606
      3.148250     -0.000210     -0.029069    -10.118972
      3.148375     -0.000457     -0.030843    -10.117075
      3.148500     -0.000725     -0.034678    -10.113097
      3.148625     -0.001161     -0.040818    -10.106646
      3.148750     -0.000490     -0.043863    -10.104397
      3.148875     -0.000855     -0.048582    -10.099437
      3.149000     -0.000743     -0.052632    -10.095626
      3.149125     -0.000301     -0.055570    -10.093254
      3.149250     -0.000097     -0.059573    -10.089581
      3.149375     -0.000005     -0.063591    -10.085778
      3.149500     -0.000083     -0.068578    -10.080839
      3.149625     -0.000050     -0.072414    -10.077162
      3.149750     -0.000100     -0.076257    -10.073393
      3.149875     -0.000189     -0.080132    -10.069554
      3.150000     -0.000286     -0.084048    -10.065666
      3.150125     -0.000373     -0.088025    -10.061728
      3.150250     -0.000434     -0.092078    -10.057737
      3.150375     -0.000357     -0.096534    -10.053485
      3.150500     -0.000200     -0.100799    -10.049501
      3.150625     -0.000031     -0.105047    -10.045547
      3.150750      0.000025     -0.109288    -10.041487
      3.150875      0.000178     -0.113205    -10.037849
      3.151000      0.000278     -0.117178    -10.034101
      3.151125      0.000059     -0.118852    -10.032332
      3.151250      0.000047     -0.123296    -10.028001
      3.151375      0.000193     -0.127792    -10.023776
      3.151500      0.000255     -0.134274    -10.017481
      3.151625      0.000268     -0.138736    -10.013157
      3.151750      0.000200     -0.143209    -10.008741
      3.151875      0.000208     -0.145770    -10.006313
      3.152000      0.000094     -0.150296    -10.001798
      3.152125      0.000102     -0.154765     -9.997461
      3.152250      0.000285     -0.162278     -9.990257
      3.152375      0.000212     -0.167110     -9.985477
      3.152500     -0.000022     -0.171925     -9.980553
      3.152625     -0.000766     -0.173805     -9.978054
      3.152750      0.000693     -0.181670     -9.971773
      3.152875      0.000107     -0.183912     -9.969069
      3.153000      0.000364     -0.191772     -9.961593
      3.153125      0.000321     -0.195981     -9.957465
      3.153250      0.000509     -0.198272     -9.955487
      3.153375      0.000799     -0.205875     -9.948300
      3.153500      0.000802     -0.210972     -9.943330
      3.153625      0.000733     -0.213698     -9.940660
      3.153750      0.000294     -0.221167     -9.932877
      3.153875     -0.000583     -0.226871     -9.926421
      3.154000     -0.000023     -0.232565     -9.921412
      3.154125     -0.000223     -0.238293     -9.915609
      3.154250     -0.000600     -0.244241     -9.909409
      3.154375     -0.000544     -0.249720     -9.904111
      3.154500     -0.000328     -0.255260     -9.898912
      3.154625      0.000059     -0.261083     -9.893601
      3.154750      0.000242     -0.266941     -9.888051
      3.154875      0.000284     -0.272809     -9.882349
      3.155000      0.000228     -0.278699     -9.876529
      3.155125      0.000118     -0.284627     -9.870616
      3.155250      0.000092     -0.290642     -9.864699
      3.155375     -0.000144     -0.296782     -9.858449
      3.155500     -0.000259     -0.302995     -9.852246
      3.155625     -0.000288     -0.309310     -9.846027
      3.155750     -0.000206     -0.315727     -9.839817
      3.155875     -0.000266     -0.322053     -9.833557
      3.156000     -0.000599     -0.328039     -9.827362
      3.156125     -0.000398     -0.334565     -9.821161
      3.156250     -0.000296     -0.341342     -9.814612
      3.156375     -0.000134     -0.348078     -9.808163
      3.156500      0.000103     -0.355007     -9.801596
      3.156625      0.000304     -0.362030     -9.794899
      3.156750      0.000396     -0.369085     -9.788061
      3.156875      0.000514     -0.376251     -9.781138
      3.157000      0.000228     -0.383329     -9.773899
      3.157125     -0.000030     -0.390572     -9.766523
      3.157250     -0.000323     -0.397980     -9.758947
      3.157375     -0.000647     -0.405593     -9.751136
      3.157500     -0.001006     -0.413469     -9.743026
      3.157625     -0.001337     -0.421641     -9.734646
      3.157750     -0.001299     -0.429482     -9.726970
      3.157875     -0.000973     -0.437460     -9.719442
      3.158000     -0.000611     -0.445628     -9.711761
      3.158125     -0.000507     -0.453956     -9.703662
      3.158250     -0.000525     -0.462372     -9.695352
      3.158375     -0.000620     -0.470897     -9.686858
      3.158500     -0.000754     -0.479561     -9.678186
      3.158625     -0.000894     -0.488391     -9.669340
      3.158750     -0.001006     -0.497417     -9.660326
      3.158875     -0.001058     -0.506665     -9.651153
      3.159000     -0.001031     -0.516137     -9.641832
      3.159125     -0.000946     -0.525802     -9.632377
      3.159250     -0.000850     -0.535602     -9.622797
      3.159375     -0.000795     -0.545490     -9.613090
      3.159500     -0.000805     -0.555462     -9.603233
      3.159625     -0.000800     -0.565631     -9.593195
      3.159750     -0.000589     -0.576222     -9.582939
      3.159875     -0.000278     -0.587166     -9.572431
      3.160000     -0.000067     -0.598293     -9.561640
      3.160125     -0.000030     -0.609585     -9.550510
      3.160250      0.000117     -0.621169     -9.539198
      3.160375      0.000055     -0.632924     -9.527505
      3.160500     -0.000081     -0.644972     -9.515447
      3.160625     -0.000248     -0.657369     -9.503008
      3.160750     -0.000417     -0.670170     -9.490163
      3.160875     -0.000584     -0.683415     -9.476877
      3.161000     -0.000760     -0.697138     -9.463102
      3.161125     -0.000856     -0.711462     -9.448807
      3.161250     -0.000611     -0.726360     -9.434278
      3.161375     -0.000221     -0.741283     -9.419871
      3.161500      0.000038     -0.756537     -9.405001
      3.161625      0.000299     -0.771405     -9.390519
      3.161750      0.000454     -0.787237     -9.374967
      3.161875      0.000488     -0.803545     -9.358818
      3.162000      0.000461     -0.820409     -9.342053
      3.162125      0.000410     -0.837909     -9.324626
      3.162250      0.000275     -0.856294     -9.306231
      3.162375      0.000382     -0.878658     -9.284099
      3.162500      0.000528     -0.898720     -9.264308
      3.162625      0.000583     -0.915830     -9.247377
      3.162750      0.000631     -0.941242     -9.222140
      3.162875      0.000459     -0.958983     -9.204351
      3.163000      0.000643     -0.985700     -9.177943
      3.163125      0.000771     -1.007726     -9.156170
      3.163250      0.001040     -1.037243     -9.127046
      3.163375      0.001245     -1.064724     -9.099895
      3.163500      0.001292     -1.093962     -9.070831
      3.163625      0.001262     -1.125031     -9.039855
      3.163750      0.001230     -1.158357     -9.006623
      3.163875      0.001078     -1.190390     -8.974563
      3.164000      0.000850     -1.228538     -8.936312
      3.164125      0.000615     -1.269982     -8.894759
      3.164250      0.000384     -1.315328     -8.849307
