    #parametro     lambda_01     lambda_02     lambda_03
      2.517625      2.110977     -0.003033    -11.625569
      2.517750      1.958160     -0.002335    -11.473575
      2.517875      2.048140     -0.000538    -11.565477
      2.518000      1.566488      0.001487    -11.085975
      2.518125      0.000411     -0.111481     -9.407055
      2.518250      0.711363     -0.560343     -9.669270
      2.518375      2.089763     -0.000709    -11.607429
      2.518500      2.020454     -0.001879    -11.537075
      2.518625      2.138106      0.000426    -11.657156
      2.518750      2.248206      0.000209    -11.767165
      2.518875      2.198725      0.000257    -11.717856
      2.519000      2.171999      0.000680    -11.691679
      2.519125      0.367299      0.002316     -9.888740
      2.519250      1.560046     -0.029708    -11.049589
      2.519375      2.217964      0.001386    -11.738726
      2.519500      2.257679     -0.000592    -11.776587
      2.519625      2.208990      0.000657    -11.729271
      2.519750      2.237694      0.002834    -11.760278
      2.519875      2.201477      0.000973    -11.722325
      2.520000      2.272312      0.000999    -11.793312
      2.520125      2.201293      0.000354    -11.721771
      2.520250      2.266638     -0.000960    -11.785928
      2.520375      2.237921     -0.000722    -11.757574
      2.520500      2.220131      0.000036    -11.740668
      2.520625      2.186812      0.000707    -11.708143
      2.520750      2.185686      0.002325    -11.708761
      2.520875      2.240082     -0.000074    -11.760883
      2.521000      2.212108     -0.000108    -11.733000
      2.521125      2.182141     -0.000437    -11.702829
      2.521250      2.205159     -0.001754    -11.724655
      2.521375      2.202553     -0.000806    -11.723122
      2.521500      2.201641      0.000295    -11.723437
      2.521625      2.117262     -0.000415    -11.638471
      2.521750      2.219649     -0.001175    -11.740224
      2.521875      2.161202      0.002550    -11.685626
      2.522000      2.151547     -0.000350    -11.673197
      2.522125      2.154959      0.000643    -11.677727
      2.522250      2.210966      0.002492    -11.735708
      2.522375      2.184362     -0.001630    -11.705107
      2.522500      2.124847      0.000563    -11.647910
      2.522625      2.160155      0.000761    -11.683541
      2.522750      2.227809      0.000073    -11.750631
      2.522875      2.213494     -0.000610    -11.735759
      2.523000      2.264014     -0.001540    -11.785473
      2.523125      2.194531     -0.002086    -11.715570
      2.523250      2.161605     -0.001244    -11.683610
      2.523375      2.173439      0.001969    -11.698783
      2.523500      2.221963      0.000789    -11.746252
      2.523625      2.212762     -0.000058    -11.736329
      2.523750      2.210897      0.001407    -11.736054
      2.523875      2.272007      0.000242    -11.796124
      2.524000      2.131839      0.000492    -11.656331
      2.524125      2.206093     -0.000848    -11.729371
      2.524250      2.090218     -0.000881    -11.613586
      2.524375      0.002399     -0.887059     -8.639715
      2.524500      2.127840     -0.002482    -11.649858
      2.524625      2.250728      0.002090    -11.777443
      2.524750      2.174625     -0.000208    -11.699167
      2.524875      2.266254      0.000345    -11.791474
      2.525000      2.268146     -0.001247    -11.791899
      2.525125      2.280228     -0.000809    -11.804544
      2.525250      2.317778     -0.000844    -11.842184
      2.525375      2.170996     -0.000239    -11.696131
      2.525500      2.311001     -0.000081    -11.836420
      2.525625      2.261459     -0.000408    -11.786676
      2.525750      2.223885      0.002026    -11.751661
      2.525875      2.282734     -0.000823    -11.807786
      2.526000      2.207326      0.002515    -11.735841
      2.526125      2.225182      0.001631    -11.752938
      2.526250      2.266917     -0.000702    -11.792465
      2.526375      2.268389      0.000390    -11.795153
      2.526500      2.253809     -0.000176    -11.780134
      2.526625      2.172452      0.000239    -11.699316
      2.526750      2.043090     -0.000336    -11.569505
      2.526875      2.310991     -0.001341    -11.836525
      2.527000      2.356319     -0.001007    -11.882311
      2.527125      2.277452     -0.000662    -11.803915
      2.527250      2.256857     -0.002284    -11.781823
      2.527375      2.246147     -0.000222    -11.773300
      2.527500      2.300329     -0.000179    -11.827650
      2.527625      2.260303     -0.001256    -11.786672
      2.527750      2.278878     -0.000237    -11.806391
      2.527875      2.255829      0.000574    -11.784278
      2.528000      2.308315      0.000507    -11.836822
      2.528125      2.287681      0.003586    -11.819392
      2.528250      2.291701      0.001099    -11.821050
      2.528375      2.299439      0.002370    -11.830184
      2.528500      2.252782      0.001782    -11.783064
      2.528625      2.248415      0.000354    -11.777394
      2.528750      2.295856      0.000126    -11.824732
      2.528875      2.272530      0.000650    -11.802055
      2.529000      2.276338      0.001423    -11.806761
      2.529125      2.269651     -0.000382    -11.798393
      2.529250      2.343482     -0.002449    -11.870283
      2.529375      2.305857     -0.000189    -11.835043
      2.529500      2.301252      0.000578    -11.831330
      2.529625      2.329823     -0.000934    -11.858514
      2.529750      2.313123      0.000020    -11.842893
      2.529875      2.286029     -0.001241    -11.814663
      2.530000      2.220570     -0.002751    -11.747820
      2.530125      2.307352      0.000343    -11.837820
      2.530250      2.298487     -0.000003    -11.828734
      2.530375      2.330049      0.002454    -11.862878
      2.530500      2.300640      0.000398    -11.831538
      2.530625      2.236272      0.001005    -11.767901
      2.530750      2.284157     -0.000502    -11.814404
      2.530875      2.339845      0.001264    -11.871984
      2.531000      2.289335     -0.000470    -11.819865
      2.531125      2.306037      0.000753    -11.837915
      2.531250      2.277287     -0.000597    -11.807940
      2.531375      2.308344      0.003390    -11.843108
      2.531500      2.293033      0.001372    -11.825905
      2.531625      2.286025     -0.001390    -11.816259
      2.531750      2.328200     -0.000144    -11.859806
      2.531875      2.287716     -0.005474    -11.814117
      2.532000      2.294126     -0.001020    -11.825106
      2.532125      2.319366     -0.000530    -11.850960
      2.532250      2.326173     -0.000408    -11.858015
      2.532375      2.322412      0.000281    -11.855068
      2.532500      2.281521     -0.000308    -11.813713
      2.532625      2.276303      0.000252    -11.809181
      2.532750      2.291716      0.000753    -11.825219
      2.532875      2.329001     -0.000195    -11.861680
      2.533000      2.294604     -0.000027    -11.827577
      2.533125      2.330480     -0.001104    -11.862501
      2.533250      2.264036      0.002125    -11.799411
      2.533375      2.307902      0.000422    -11.841700
      2.533500      2.331191      0.000075    -11.864765
      2.533625      2.285910      0.001035    -11.820570
      2.533750      2.250743      0.000608    -11.785101
      2.533875      2.333523     -0.000489    -11.866909
      2.534000      2.278105     -0.000038    -11.812067
      2.534125      2.274048     -0.000819    -11.807354
      2.534250      2.266512      0.000038    -11.800799
      2.534375      2.302426      0.000256    -11.837057
      2.534500      2.263355     -0.000290    -11.797565
      2.534625      2.289441     -0.000922    -11.823145
      2.534750      2.350513     -0.001335    -11.883928
      2.534875      2.291453     -0.001072    -11.825256
      2.535000      2.274869     -0.001383    -11.808486
      2.535125      2.319499      0.000265    -11.854890
      2.535250      2.314953      0.000375    -11.850579
      2.535375      2.290129      0.000077    -11.825581
      2.535500      2.333173      0.001607    -11.870280
      2.535625      2.340350     -0.002536    -11.873439
      2.535750      2.304363      0.001805    -11.841918
      2.535875      2.338513     -0.000801    -11.873588
      2.536000      2.359824      0.000937    -11.896761
      2.536125      2.341906      0.000594    -11.878625
      2.536250      2.315802     -0.001987    -11.850065
      2.536375      2.305577      0.000707    -11.842660
      2.536500      2.255981     -0.000564    -11.791917
      2.536625      2.265514     -0.000598    -11.801541
      2.536750      2.298709      0.000214    -11.835673
      2.536875      2.285183     -0.000412    -11.821645
      2.537000      2.271973     -0.000422    -11.808551
      2.537125      2.298036      0.000780    -11.835941
      2.537250      2.297562     -0.000300    -11.834513
      2.537375      2.270195     -0.000031    -11.807539
      2.537500      2.324744     -0.000966    -11.861278
      2.537625      2.291300     -0.000612    -11.828313
      2.537750      2.345806      0.000289    -11.883844
      2.537875      2.346371     -0.000349    -11.883896
      2.538000      2.317000     -0.001087    -11.853912
      2.538125      2.299785     -0.001188    -11.836722
      2.538250      2.317253     -0.000135    -11.855368
      2.538375      2.350229     -0.000491    -11.888113
      2.538500      2.374629      0.002469    -11.915599
      2.538625      2.290338      0.000414    -11.829378
      2.538750      2.309001      0.000119    -11.847871
      2.538875      2.332555      0.001082    -11.872512
      2.539000      2.351272      0.000772    -11.891044
      2.539125      2.338815     -0.000754    -11.877186
      2.539250      2.358727      0.000247    -11.898224
      2.539375      2.338988      0.000136    -11.878498
      2.539500      2.351375     -0.000277    -11.890597
      2.539625      2.324571      0.000953    -11.865150
      2.539750      2.349349      0.001555    -11.890654
      2.539875      2.363246     -0.000387    -11.902734
      2.540000      2.350265      0.000035    -11.890300
      2.540125      2.360843      0.000807    -11.901774
      2.540250      2.259078     -0.000511    -11.798817
      2.540375      2.347546     -0.000210    -11.887712
      2.540500      2.314878     -0.001480    -11.853898
      2.540625      2.335126     -0.001336    -11.874415
      2.540750      2.317588      0.000311    -11.858649
      2.540875      2.351379      0.000106    -11.892360
      2.541000      2.326376     -0.001304    -11.866072
      2.541125      2.402209      0.000373    -11.943707
      2.541250      2.350719     -0.000593    -11.891376
      2.541375      2.310554     -0.000490    -11.851440
      2.541500      2.356876      0.001941    -11.900317
      2.541625      2.289018     -0.001298    -11.829345
      2.541750      2.353649     -0.001362    -11.894038
      2.541875      2.313884      0.000655    -11.856414
      2.542000      2.339753     -0.002010    -11.879742
      2.542125      2.372509     -0.000111    -11.914523
      2.542250      2.322742     -0.000523    -11.864469
      2.542375      2.325727      0.003065    -11.871167
      2.542500      2.314364      0.000729    -11.857593
      2.542625      2.362754      0.001854    -11.907232
      2.542750      2.332741     -0.000139    -11.875351
      2.542875      2.326976     -0.002938    -11.866913
